;;;;;;;;
example sentence;;;;;;;;
;;;;;;;;
;q;eooe;;;;;;
;;;;;;;;
example sentence;;;;;;;;
;;;;;;;;
;;;;;;;;
the vase is falling off the table;a;stat;thing993;thing553;stability;30;50;
;;;;;;;;
;;;;;;;;
the vase is falling off the table;a;stat;thing993;thing553;stability;30;50;
;a;dyn;thing001;thing002;motion;20;40;
;;;;;;;;
;;;;;;;;
the vase is falling off the table;a;stat;thing993;thing553;stability;30;50;
;a;dyn;thing001;thing002;motion;20;40;
;;;;;;;;
;;;;;;;;
the vase is falling off the table;a;stat;thing993;thing553;stability;30;50;
;a;dyn;thing001;thing002;motion;20;40;
;c;rel;thing993;thing001;contact;25;45;
;;;;;;;;
;;;;;;;;
the robot saws small trees;c;loc;grasper001;tree002;;20;40;
;;;;;;;;
;;;;;;;;
its wheel1 is turning;c;loc;wheel001;;rotation;20;40;
;;;;;;;;
;;;;;;;;
the robot is cutting a tree;a;stat;robot001;thing553;;30;50;
;c;loc;arm001;thing001;motion;25;45;
;;;;;;;;
tree climbing robot;c;activity;grasper;trunk;;60;50;
;;;;;;;;
