;;;;;;;;
timing triangle — act within the right window;c;activity;robot;branch;;60;50;
;;;;;;;;
branch still oscillating;a;stat;robot001;branch001;stat fast;20;30;
;c;mode;robot001;branch001;waitfor;25;35;
;;;;;;;;
movement window too short;a;stat;robot001;branch001;stat empty;15;25;
;c;mode;robot001;branch001;abort_branch;20;30;
;;;;;;;;
rhythm established, window open;a;stat;robot001;branch001;pattern;60;70;
;c;mode;robot001;branch001;execute_move;65;75;
;;;;;;;;
robot moving in sync with branch;c;activity;robot;branch;goal pattern+sequence;80;90;
;;;;;;;;
